"Entry","Status","Gene.names","Organism","Gene.ontology..biological.process.","Gene.ontology..cellular.component.","Gene.ontology..molecular.function.","Gene.ontology.IDs"
"A0A3B1K9Y4","unreviewed","spidr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5KWX2","unreviewed","cdh18","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","calcium ion binding [GO:0005509]","GO:0005509; GO:0005886; GO:0007156; GO:0016021"
"A0A3B1K6X4","unreviewed","kcnq4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of ion transmembrane transport [GO:0034765]","voltage-gated potassium channel complex [GO:0008076]","voltage-gated potassium channel activity [GO:0005249]","GO:0005249; GO:0008076; GO:0034765"
"W5LA00","unreviewed","dock2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","actin cytoskeleton organization [GO:0030036]; small GTPase mediated signal transduction [GO:0007264]","cytoplasm [GO:0005737]","guanyl-nucleotide exchange factor activity [GO:0005085]","GO:0005085; GO:0005737; GO:0007264; GO:0030036"
"A0A3B1KJS0","unreviewed","vstm2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1K5W2","unreviewed","adgra1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell surface receptor signaling pathway [GO:0007166]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0005886; GO:0007166; GO:0016021"
"W5LGU1","unreviewed","grid1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]","ionotropic glutamate receptor activity [GO:0004970]","GO:0004970; GO:0016021; GO:0045211"
"A0A3B1IGV9","unreviewed","ermp1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","metalloexopeptidase activity [GO:0008235]","GO:0008235; GO:0016021"
"W5LR97","unreviewed","agap2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of GTPase activity [GO:0043547]","","GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]","GO:0003924; GO:0005096; GO:0005525; GO:0043547; GO:0046872"
"W5KL82","unreviewed","ralgps1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","small GTPase mediated signal transduction [GO:0007264]","","guanyl-nucleotide exchange factor activity [GO:0005085]","GO:0005085; GO:0007264"
"A0A3B1IEF9","unreviewed","wdr12","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]","nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]","ribonucleoprotein complex binding [GO:0043021]","GO:0000463; GO:0000466; GO:0005654; GO:0005730; GO:0030687; GO:0043021"
"A0A3B1JGC4","unreviewed","cilk1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein kinase activity [GO:0004672]","GO:0004672; GO:0005524"
"W5LHF6","unreviewed","pcdhac2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; nervous system development [GO:0007399]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","calcium ion binding [GO:0005509]","GO:0005509; GO:0005886; GO:0007156; GO:0007399; GO:0016021"
"A0A3B1IM91","unreviewed","ttc28","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JB46","unreviewed","spag9","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]","MAP-kinase scaffold activity [GO:0005078]","GO:0005078; GO:0005737"
"A0A3B1JGL9","unreviewed","b4galt1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","carbohydrate metabolic process [GO:0005975]; protein glycosylation [GO:0006486]","Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]","transferase activity, transferring glycosyl groups [GO:0016757]","GO:0005975; GO:0006486; GO:0016021; GO:0016757; GO:0032580"
"A0A3B1J1Q5","unreviewed","clpb","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATPase activity [GO:0016887]; ATP binding [GO:0005524]","GO:0005524; GO:0016887"
"W5K2D3","unreviewed","tsfm","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","mitochondrion [GO:0005739]","translation elongation factor activity [GO:0003746]","GO:0003746; GO:0005739"
"A0A3B1IXB1","unreviewed","itm2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","","GO:0005886; GO:0016021"
"A0A3B1IYQ0","unreviewed","c7orf26","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JR00","unreviewed","katnbl1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]","microtubule binding [GO:0008017]","GO:0005737; GO:0005856; GO:0008017"
"W5KMS0","unreviewed","coq3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","methylation [GO:0032259]; ubiquinone biosynthetic process [GO:0006744]","extrinsic component of mitochondrial inner membrane [GO:0031314]","2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]; 3-demethylubiquinone-9 3-O-methyltransferase activity [GO:0008689]; hexaprenyldihydroxybenzoate methyltransferase activity [GO:0004395]","GO:0004395; GO:0006744; GO:0008425; GO:0008689; GO:0031314; GO:0032259"
"W5LFW9","unreviewed","l3mbtl4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription, DNA-templated [GO:0006355]","integral component of membrane [GO:0016021]; nucleus [GO:0005634]","zinc ion binding [GO:0008270]","GO:0005634; GO:0006355; GO:0008270; GO:0016021"
"W5KWH8","unreviewed","ndufv1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]","4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]","GO:0005743; GO:0008137; GO:0010181; GO:0046872; GO:0051287; GO:0051539; GO:0070469"
"W5K394","unreviewed","ltbp3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","calcium ion binding [GO:0005509]","GO:0005509"
"W5KYK5","unreviewed","npffr2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of adenylate cyclase activity [GO:0045761]; regulation of cAMP-dependent protein kinase activity [GO:2000479]; regulation of MAPK cascade [GO:0043408]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","neuropeptide receptor activity [GO:0008188]; opioid receptor binding [GO:0031628]","GO:0005886; GO:0008188; GO:0016021; GO:0031628; GO:0043408; GO:0045761; GO:2000479"
"W5K7Y0","unreviewed","clec18a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5KBY9","unreviewed","tnks2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","NAD+ ADP-ribosyltransferase activity [GO:0003950]","GO:0003950"
"A0A3B1JQ70","unreviewed","c4orf33","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1KAM1","unreviewed","sult6b1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","sulfotransferase activity [GO:0008146]","GO:0008146"
"A0A3B1IZJ1","unreviewed","chst15","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5KYI1","unreviewed","ptchd3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1JR54","unreviewed","pcgf3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","metal ion binding [GO:0046872]","GO:0005634; GO:0046872"
"W5K8Z2","unreviewed","flnb","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","actin cytoskeleton organization [GO:0030036]; cell differentiation [GO:0030154]","","actin binding [GO:0003779]","GO:0003779; GO:0030036; GO:0030154"
"A0A3B1IGK6","unreviewed","serpina4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular space [GO:0005615]","","GO:0005615"
"A0A3B1JBY1","unreviewed","c8orf82","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1IZ23","unreviewed","rgs13","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LKC2","unreviewed","depdc1b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular signal transduction [GO:0035556]","","","GO:0035556"
"W5KN84","unreviewed","bfar","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","metal ion binding [GO:0046872]","GO:0016021; GO:0046872"
"A0A3B1K3N2","unreviewed","stac2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular signal transduction [GO:0035556]","sarcolemma [GO:0042383]","","GO:0035556; GO:0042383"
"W5LV19","unreviewed","kcnj1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of ion transmembrane transport [GO:0034765]","integral component of membrane [GO:0016021]","inward rectifier potassium channel activity [GO:0005242]","GO:0005242; GO:0016021; GO:0034765"
"W5K8X2","unreviewed","chrna9","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]","acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]","GO:0004888; GO:0016021; GO:0022848; GO:0045211"
"W5LN06","unreviewed","ccdc88a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell migration [GO:0016477]; cytoskeleton-dependent intracellular transport [GO:0030705]; regulation of actin cytoskeleton organization [GO:0032956]","cytoplasm [GO:0005737]","actin binding [GO:0003779]","GO:0003779; GO:0005737; GO:0016477; GO:0030705; GO:0032956"
"A0A3B1K1W4","unreviewed","wnk2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]","GO:0005524; GO:0106310; GO:0106311"
"A0A3B1JDF1","unreviewed","fen1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","base-excision repair [GO:0006284]; DNA replication [GO:0006260]; DNA replication, removal of RNA primer [GO:0043137]","mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]","5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]","GO:0000287; GO:0003677; GO:0005654; GO:0005730; GO:0005739; GO:0006260; GO:0006284; GO:0008409; GO:0017108; GO:0043137"
"A0A3B1JCG1","unreviewed","nav1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","neurogenesis [GO:0022008]","","","GO:0022008"
"A0A3B1K5P6","unreviewed","cldn4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","bicellular tight junction [GO:0005923]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","structural molecule activity [GO:0005198]","GO:0005198; GO:0005886; GO:0005923; GO:0016021"
"A0A3B1ID65","unreviewed","tom1l2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular protein transport [GO:0006886]","","","GO:0006886"
"W5KKL9","unreviewed","septin10","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","GTP binding [GO:0005525]","GO:0005525"
"A0A3B1JXF6","unreviewed","gabrg3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","chloride transport [GO:0006821]; gamma-aminobutyric acid signaling pathway [GO:0007214]","chloride channel complex [GO:0034707]; postsynaptic membrane [GO:0045211]","chloride channel activity [GO:0005254]; extracellular ligand-gated ion channel activity [GO:0005230]; GABA-A receptor activity [GO:0004890]","GO:0004890; GO:0005230; GO:0005254; GO:0006821; GO:0007214; GO:0034707; GO:0045211"
"W5LRY2","unreviewed","plekhf1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","metal ion binding [GO:0046872]","GO:0046872"
"W5KWI7","unreviewed","nrxn1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5KUD9","unreviewed","ccne2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","G1/S transition of mitotic cell cycle [GO:0000082]; regulation of cell cycle [GO:0051726]","","","GO:0000082; GO:0051726"
"A0A3B1KDB2","unreviewed","gjc1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell communication [GO:0007154]","connexin complex [GO:0005922]; integral component of membrane [GO:0016021]","","GO:0005922; GO:0007154; GO:0016021"
"W5K9W6","unreviewed","slc29a4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","monoamine transmembrane transporter activity [GO:0008504]; nucleoside transmembrane transporter activity [GO:0005337]","GO:0005337; GO:0008504; GO:0016021"
"A0A3B1J2J3","unreviewed","znf800","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JT37","unreviewed","majin","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","DNA binding [GO:0003677]","GO:0003677"
"W5L9Y4","unreviewed","trpc7","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","calcium channel activity [GO:0005262]","GO:0005262; GO:0016021"
"W5L579","unreviewed","gtpbp8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","GTP binding [GO:0005525]; metal ion binding [GO:0046872]","GO:0005525; GO:0046872"
"W5KT87","unreviewed","b3galt1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein glycosylation [GO:0006486]","Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]","transferase activity, transferring hexosyl groups [GO:0016758]","GO:0000139; GO:0006486; GO:0016021; GO:0016758"
"A0A3B1K734","unreviewed","c12orf66","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5KBP2","unreviewed","nt5m","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","deoxyribonucleotide catabolic process [GO:0009264]","","5'-nucleotidase activity [GO:0008253]","GO:0008253; GO:0009264"
"A0A3B1J7S0","unreviewed","clvs2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","lysosome organization [GO:0007040]","clathrin-coated vesicle [GO:0030136]; endosome [GO:0005768]; trans-Golgi network [GO:0005802]","phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]","GO:0005768; GO:0005802; GO:0007040; GO:0030136; GO:0080025"
"W5KVP7","unreviewed","c9orf64","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1KJN1","unreviewed","tcf21","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","protein dimerization activity [GO:0046983]","GO:0046983"
"W5LH68","unreviewed","dennd3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","guanyl-nucleotide exchange factor activity [GO:0005085]","GO:0005085"
"A0A3B1K9B9","unreviewed","wdr77","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1K781","unreviewed","nme2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]","","ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]","GO:0004550; GO:0005524; GO:0006183; GO:0006228; GO:0006241"
"W5KIK6","unreviewed","tmem236","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1K8B1","unreviewed","pln","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of ATPase-coupled calcium transmembrane transporter activity [GO:1901894]","integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; sarcoplasmic reticulum membrane [GO:0033017]","ATPase inhibitor activity [GO:0042030]","GO:0016021; GO:0031966; GO:0033017; GO:0042030; GO:1901894"
"W5K5W2","unreviewed","taf4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","DNA-templated transcription, initiation [GO:0006352]","transcription factor TFIID complex [GO:0005669]","protein heterodimerization activity [GO:0046982]","GO:0005669; GO:0006352; GO:0046982"
"A0A3B1IC77","unreviewed","mettl1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","tRNA (guanine-N7-)-methyltransferase activity [GO:0008176]; tRNA binding [GO:0000049]","GO:0000049; GO:0005634; GO:0008176"
"W5LBB1","unreviewed","igsf22","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LSK0","unreviewed","myadm","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1KL25","unreviewed","msmp","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","","GO:0005576"
"W5K0J8","unreviewed","vstm2l","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5L5B0","unreviewed","unc79","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1K7D8","unreviewed","zbtb21","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5L7T9","unreviewed","fgd3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]","guanyl-nucleotide exchange factor activity [GO:0005085]; metal ion binding [GO:0046872]","GO:0005085; GO:0005737; GO:0005856; GO:0046872"
"A0A3B1JST5","unreviewed","grik3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]","ionotropic glutamate receptor activity [GO:0004970]","GO:0004970; GO:0016021; GO:0045211"
"A0A3B1JTN5","unreviewed","sdhb","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","tricarboxylic acid cycle [GO:0006099]","mitochondrial inner membrane [GO:0005743]","2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase (ubiquinone) activity [GO:0008177]","GO:0005743; GO:0006099; GO:0008177; GO:0009055; GO:0046872; GO:0051537; GO:0051538; GO:0051539"
"W5K7U5","unreviewed","vip","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","mRNA stabilization [GO:0048255]; prolactin secretion [GO:0070459]","extracellular region [GO:0005576]","hormone activity [GO:0005179]","GO:0005179; GO:0005576; GO:0048255; GO:0070459"
"W5LS51","unreviewed","h4-16","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","DNA-templated transcription, initiation [GO:0006352]","nucleosome [GO:0000786]; nucleus [GO:0005634]","DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]","GO:0000786; GO:0003677; GO:0005634; GO:0006352; GO:0046982"
"A0A3B1JXL1","unreviewed","vwa5b1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LC44","unreviewed","rsph1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5KI93","unreviewed","kiaa0895l","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JBX8","unreviewed","klhl34","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1IUU5","unreviewed","lrit2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1K306","unreviewed","bptf","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription by RNA polymerase II [GO:0006357]","NURF complex [GO:0016589]","metal ion binding [GO:0046872]","GO:0006357; GO:0016589; GO:0046872"
"W5KUH1","unreviewed","htra3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","insulin-like growth factor binding [GO:0005520]; serine-type endopeptidase activity [GO:0004252]","GO:0004252; GO:0005520; GO:0005576"
"W5KR31","unreviewed","nadsyn1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","NAD biosynthetic process [GO:0009435]","cytoplasm [GO:0005737]","glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]","GO:0003952; GO:0004359; GO:0005737; GO:0009435"
"W5KZQ5","unreviewed","lox","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","peptidyl-lysine oxidation [GO:0018057]","extracellular space [GO:0005615]","copper ion binding [GO:0005507]; protein-lysine 6-oxidase activity [GO:0004720]","GO:0004720; GO:0005507; GO:0005615; GO:0018057"
"A0A3B1JLZ4","unreviewed","man1b1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","carbohydrate metabolic process [GO:0005975]","integral component of membrane [GO:0016021]","calcium ion binding [GO:0005509]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]","GO:0004571; GO:0005509; GO:0005975; GO:0016021"
"W5LLU9","unreviewed","mok","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]","GO:0004674; GO:0005524"
"A0A3B1JD95","unreviewed","rpl27a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","translation [GO:0006412]","ribosome [GO:0005840]","structural constituent of ribosome [GO:0003735]","GO:0003735; GO:0005840; GO:0006412"
"W5LGK8","unreviewed","pabpc3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]","RNA binding [GO:0003723]","GO:0003723; GO:0005737"
"W5K7S6","unreviewed","spegnb","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1IRH4","unreviewed","hspb1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1IMJ0","unreviewed","arf5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","GTP binding [GO:0005525]","GO:0005525"
"A0A3B1JXR0","unreviewed","med9","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription by RNA polymerase II [GO:0006357]","mediator complex [GO:0016592]","transcription coregulator activity [GO:0003712]","GO:0003712; GO:0006357; GO:0016592"
"A0A3B1KF73","unreviewed","serp1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cellular response to estrogen stimulus [GO:0071391]; protein transport [GO:0015031]","endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]","","GO:0005789; GO:0015031; GO:0016021; GO:0071391"
"W5KQV7","unreviewed","npc1l1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","lipid transporter activity [GO:0005319]","GO:0005319; GO:0016021"
"W5KHZ6","unreviewed","slc44a1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","transmembrane transporter activity [GO:0022857]","GO:0016021; GO:0022857"
"W5KQD1","unreviewed","naga","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","carbohydrate metabolic process [GO:0005975]","lysosome [GO:0005764]","hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]","GO:0004553; GO:0005764; GO:0005975"
"W5KDA7","unreviewed","kif21a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","microtubule-based movement [GO:0007018]","cytoskeleton [GO:0005856]","ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]","GO:0005524; GO:0005856; GO:0007018; GO:0008017; GO:1990939"
"A0A3B1IDN0","unreviewed","cox7a2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; mitochondrial respirasome [GO:0005746]","cytochrome-c oxidase activity [GO:0004129]","GO:0004129; GO:0005746; GO:0016021"
"A0A3B1KLL7","unreviewed","slx1 giyd1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","DNA recombination [GO:0006310]; DNA repair [GO:0006281]","Slx1-Slx4 complex [GO:0033557]","5'-flap endonuclease activity [GO:0017108]","GO:0006281; GO:0006310; GO:0017108; GO:0033557"
"W5KX88","unreviewed","eif3i eif3s2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","formation of cytoplasmic translation initiation complex [GO:0001732]; liver development [GO:0001889]; sprouting angiogenesis [GO:0002040]","eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]","translation initiation factor activity [GO:0003743]","GO:0001732; GO:0001889; GO:0002040; GO:0003743; GO:0005852; GO:0016282; GO:0033290"
"W5L8U5","unreviewed","sphk1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","NAD+ kinase activity [GO:0003951]","GO:0003951"
