"","Gene_stable_ID","Comparison","logFC","PValue","Gene_name","Gene_description","Ensembl_Family_Description","Condition","Publication","Age_at_Sampling","Tissue"
"9515","ENSAMXG00000018458","Rio Choy-Control",0.0881976497337928,0.772265216314704,"faf1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9516","ENSAMXG00000018461","Rio Choy-Control",0.215214686436644,0.407172009151637,"cbsb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9517","ENSAMXG00000018462","Rio Choy-Control",0.333951732321124,0.0465077007397578,"znf207a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9518","ENSAMXG00000018463","Rio Choy-Control",0.106622992245873,0.645735637839857,"gmcl1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9519","ENSAMXG00000018465","Rio Choy-Control",-0.351788010107693,0.118671952624345,"tmem79b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9520","ENSAMXG00000018466","Rio Choy-Control",-0.58852136583872,0.0188044242576487,"slc6a19a.1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9521","ENSAMXG00000018469","Rio Choy-Control",-0.241745402013299,0.674694224497204,"grik5",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9522","ENSAMXG00000018471","Rio Choy-Control",0.439785700168227,0.242830586448371,"grid1b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9523","ENSAMXG00000018473","Rio Choy-Control",-0.123702734330544,0.742322246053248,"phf20l1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9524","ENSAMXG00000018474","Rio Choy-Control",-1.2900533663621,0.00097336111794733,"slc34a1a","solute carrier family 34 (type II sodium/phosphate cotransporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-101006-3]","SODIUM DEPENDENT PHOSPHATE TRANSPORT SODIUM PHOSPHATE TRANSPORT NA + DEPENDENT PHOSPHATE COTRANSPORTER SODIUM/PHOSPHATE COTRANSPORTER NA + /PI COTRANSPORTER NAPI SOLUTE CARRIER FAMILY 34 MEMBER","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9525","ENSAMXG00000018475","Rio Choy-Control",-1.09086037043654,0.0112401816130203,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9526","ENSAMXG00000018477","Rio Choy-Control",-0.0334557001441931,0.908196440325292,"ggcx",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9527","ENSAMXG00000018478","Rio Choy-Control",-0.639253072467717,0.182713608655811,"pcolceb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9528","ENSAMXG00000018482","Rio Choy-Control",0.289264397178824,0.388522288668288,"sik1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9529","ENSAMXG00000018484","Rio Choy-Control",-0.383950672908934,0.153843937354261,"map2k7",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9530","ENSAMXG00000018486","Rio Choy-Control",-0.0730271421920114,0.830805104216018,"MAPK8IP1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9531","ENSAMXG00000018489","Rio Choy-Control",-1.17492947969784,0.0332720849827143,"kif13ba",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9532","ENSAMXG00000018491","Rio Choy-Control",-0.0825959056922688,0.705848094967652,"ing1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9533","ENSAMXG00000018497","Rio Choy-Control",0.60547282510439,0.080673792400799,"tg",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9534","ENSAMXG00000018498","Rio Choy-Control",-0.632649190084639,0.767966041506125,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9535","ENSAMXG00000018502","Rio Choy-Control",-0.486112454915822,0.319142772641758,"zrsr2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9536","ENSAMXG00000018503","Rio Choy-Control",-0.113144775715615,0.682288877441987,"loxa",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9537","ENSAMXG00000018504","Rio Choy-Control",-0.617765331404368,0.137948003710039,"pkn1a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9538","ENSAMXG00000018505","Rio Choy-Control",0.504149434002536,0.395616718707952,"rnf11a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9539","ENSAMXG00000018508","Rio Choy-Control",0.184244445467603,0.183124205636802,"tmem30ab",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9540","ENSAMXG00000018509","Rio Choy-Control",2.48475614268944,0.161356106392198,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9541","ENSAMXG00000018512","Rio Choy-Control",0.00433316629273877,0.991776231374009,"mtbp",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9542","ENSAMXG00000018513","Rio Choy-Control",0.00935795835132006,0.976031678048701,"ctnna2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9543","ENSAMXG00000018514","Rio Choy-Control",-0.257835681955868,0.920249746182629,"si:ch211-214c7.5",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9544","ENSAMXG00000018515","Rio Choy-Control",-0.0193223393090044,0.960312306541973,"mif4gdb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9545","ENSAMXG00000018516","Rio Choy-Control",0.180454648150083,0.476863141288945,"arl3l2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9546","ENSAMXG00000018517","Rio Choy-Control",-0.0358240418711082,0.885770984105728,"vps35",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9547","ENSAMXG00000018518","Rio Choy-Control",0.320732249814682,0.100582881372052,"carm1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9548","ENSAMXG00000018519","Rio Choy-Control",-0.285089254083565,0.24216003974297,"ankrd10b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9549","ENSAMXG00000018520","Rio Choy-Control",-0.695661611397573,0.823270146297063,"mpx",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9550","ENSAMXG00000018521","Rio Choy-Control",-0.205674369759686,0.208994406679959,"CDH3",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9551","ENSAMXG00000018523","Rio Choy-Control",0.218742701205103,0.66944805755494,"waplb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9552","ENSAMXG00000018526","Rio Choy-Control",-0.495267787018832,0.240372529089702,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9553","ENSAMXG00000018527","Rio Choy-Control",-0.172518000842565,0.672727692716839,"map3k22",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9554","ENSAMXG00000018528","Rio Choy-Control",-0.550380016336124,0.247706011318106,"filip1b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9555","ENSAMXG00000018529","Rio Choy-Control",0.315085557143593,0.204926629851884,"RBM22",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9556","ENSAMXG00000018531","Rio Choy-Control",0.3962572120177,0.30032740379812,"mfsd6b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9557","ENSAMXG00000018532","Rio Choy-Control",0.430881299526389,0.0731798725446306,"rbb4l",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9558","ENSAMXG00000018535","Rio Choy-Control",0.0108400001861989,0.975304282488222,"si:dkey-204f11.64",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9559","ENSAMXG00000018537","Rio Choy-Control",-0.368649861313147,0.166258254897063,"nemp2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9560","ENSAMXG00000018539","Rio Choy-Control",-0.439152322944303,0.0722593344838883,"HMBOX1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9561","ENSAMXG00000018542","Rio Choy-Control",-0.533500455682161,0.320197315291158,"nab1b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9562","ENSAMXG00000018543","Rio Choy-Control",-0.123585089956476,0.737477429262119,"dpp6b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9563","ENSAMXG00000018550","Rio Choy-Control",-0.430045537610394,0.0640116777393325,"mcoln1a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9564","ENSAMXG00000018551","Rio Choy-Control",-0.832773785373958,0.0902241520026185,"chst15",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9565","ENSAMXG00000018553","Rio Choy-Control",-0.74732549214762,0.122243820871145,"mpx",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9566","ENSAMXG00000018554","Rio Choy-Control",-0.0668935076898092,0.907338944499515,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9567","ENSAMXG00000018555","Rio Choy-Control",-0.425334480440433,0.138801221262973,"txlng",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9568","ENSAMXG00000018557","Rio Choy-Control",-0.0914820248352465,0.776139859651669,"glsb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9569","ENSAMXG00000018559","Rio Choy-Control",-0.236442818705888,0.317363131772163,"aldh3b1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9570","ENSAMXG00000018560","Rio Choy-Control",0.250175969848828,0.3027365125514,"acsl1b","acyl-CoA synthetase long chain family member 1b [Source:ZFIN;Acc:ZDB-GENE-040801-88]","LONG CHAIN FATTY ACID COA LIGASE 1 EC_6.2.1.3 LONG CHAIN ACYL COA SYNTHETASE 1 LACS 1 LONG CHAIN FATTY ACID COA LIGASE","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9571","ENSAMXG00000018562","Rio Choy-Control",-0.765677462894478,0.191126673159816,"SGMS1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9572","ENSAMXG00000018566","Rio Choy-Control",-0.210898667033395,0.547814444193647,"kif13bb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9573","ENSAMXG00000018570","Rio Choy-Control",0.237993587605163,0.485989648577574,"tdp1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9574","ENSAMXG00000018571","Rio Choy-Control",-0.0104153368966221,0.972724285542894,"rtel1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9575","ENSAMXG00000018572","Rio Choy-Control",-0.250329876547179,0.489838854349767,"has2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9576","ENSAMXG00000018574","Rio Choy-Control",-1.01350847302666,0.065361505593251,"arhgap21b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9577","ENSAMXG00000018575","Rio Choy-Control",-0.676361968349338,0.0213680541694255,"pm20d1.2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9578","ENSAMXG00000018577","Rio Choy-Control",0.528935002000068,0.0215878824378821,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9579","ENSAMXG00000018578","Rio Choy-Control",0.259358402250668,0.18609167037208,"si:rp71-19m20.1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9580","ENSAMXG00000018579","Rio Choy-Control",-0.610541916637784,0.0115468717680851,"stat4",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9581","ENSAMXG00000018580","Rio Choy-Control",0.0868432690188943,0.669680869323444,"capn7",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9582","ENSAMXG00000018581","Rio Choy-Control",-0.906892125117702,0.455026478925472,"stac",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9583","ENSAMXG00000018583","Rio Choy-Control",0.00380309262398878,0.985787437028974,"zgpat",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9584","ENSAMXG00000018584","Rio Choy-Control",0.186028043495835,0.741854914788441,"scxb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9586","ENSAMXG00000018588","Rio Choy-Control",-0.0412124522761335,0.896141161222464,"prtfdc1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9587","ENSAMXG00000018589","Rio Choy-Control",-0.0168963886566936,0.958392488384887,"mat2aa",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9588","ENSAMXG00000018590","Rio Choy-Control",0.152334124184951,0.457208228420536,"zgc:174164",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9589","ENSAMXG00000018591","Rio Choy-Control",0.728414245084376,0.815198225092117,"si:ch73-233k15.2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9590","ENSAMXG00000018592","Rio Choy-Control",-0.376193107204775,0.254749927720554,"mroh1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9591","ENSAMXG00000018593","Rio Choy-Control",0.728422434593456,0.773980960225922,"spdya",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9592","ENSAMXG00000018594","Rio Choy-Control",-0.839459396698579,0.69969849500056,"si:ch211-198n5.11",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9593","ENSAMXG00000018596","Rio Choy-Control",-0.659155486401895,0.0676938369528273,"foxn3",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9594","ENSAMXG00000018597","Rio Choy-Control",0.298268648936272,0.733336041857909,"chrna4b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9595","ENSAMXG00000018598","Rio Choy-Control",0.388797169044588,0.137433719614193,"get4",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9596","ENSAMXG00000018599","Rio Choy-Control",0.228907909058471,0.479434395591075,"sall1a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9597","ENSAMXG00000018601","Rio Choy-Control",-0.454096878858781,0.154403796687605,"inab",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9598","ENSAMXG00000018605","Rio Choy-Control",-0.419635959717611,0.237220809176074,"STON2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9599","ENSAMXG00000018606","Rio Choy-Control",0.682020353309085,0.0921092763859845,"wdr75",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9600","ENSAMXG00000018608","Rio Choy-Control",-1.07857085696883,0.217785053324139,"inpp5ja",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9601","ENSAMXG00000018609","Rio Choy-Control",0.206815914723587,0.770633094158794,"gpr158b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9602","ENSAMXG00000018610","Rio Choy-Control",-0.6619029990875,0.0262644397773774,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9603","ENSAMXG00000018613","Rio Choy-Control",-0.259977610806406,0.932335942005366,"ptgfr",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9604","ENSAMXG00000018614","Rio Choy-Control",0.305191794750008,0.194507455507666,"ints9",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9605","ENSAMXG00000018615","Rio Choy-Control",-0.327483130443414,0.210465236272394,"osbpl9",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9606","ENSAMXG00000018616","Rio Choy-Control",-0.0635460990611132,0.811530670331215,"cylda",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9607","ENSAMXG00000018617","Rio Choy-Control",0.400982084613508,0.395060101161455,"dio2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9608","ENSAMXG00000018619","Rio Choy-Control",0.337858751970519,0.0538292551397772,"vps35l",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9609","ENSAMXG00000018621","Rio Choy-Control",-0.552422014332778,0.127311840028521,"stox2b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9610","ENSAMXG00000018623","Rio Choy-Control",0.390760843203223,0.145258434763573,"wdr43",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9611","ENSAMXG00000018625","Rio Choy-Control",-0.410332536642302,0.255685709911158,"per1b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9612","ENSAMXG00000018626","Rio Choy-Control",-0.333243871408592,0.152158899236867,"slc45a4b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9613","ENSAMXG00000018627","Rio Choy-Control",0.0836763793122078,0.862359517212378,"smtna",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9614","ENSAMXG00000018629","Rio Choy-Control",-0.36210312981342,0.276882787863771,"DENND3",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9615","ENSAMXG00000018631","Rio Choy-Control",0.531018005546474,0.0441363812791584,"ddx39ab",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9616","ENSAMXG00000018632","Rio Choy-Control",-0.382456723086161,0.116563839731019,"dvl3a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9617","ENSAMXG00000018633","Rio Choy-Control",0.014888004983689,0.973503464095264,"zfyve9b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9618","ENSAMXG00000018634","Rio Choy-Control",-0.501228823451655,0.235011095029786,"nrxn3a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9619","ENSAMXG00000018636","Rio Choy-Control",-0.0434991143399264,0.874113000259088,"osbp2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9620","ENSAMXG00000018637","Rio Choy-Control",-0.223539985525733,0.407146717063516,"ptk2ab",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9621","ENSAMXG00000018638","Rio Choy-Control",-0.264898168449141,0.642640872975735,"EVI5L",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9622","ENSAMXG00000018641","Rio Choy-Control",-0.207665542604307,0.783470513768325,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9623","ENSAMXG00000018642","Rio Choy-Control",0.129327600433595,0.82604465523385,"nod2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9624","ENSAMXG00000018643","Rio Choy-Control",-0.657158846363595,0.461074704602449,"ldlrad4b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9625","ENSAMXG00000018644","Rio Choy-Control",0.168610916883194,0.511112012257445,"pcyt1aa",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9626","ENSAMXG00000018645","Rio Choy-Control",-0.33492749455128,0.266242066809623,"extl3",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9627","ENSAMXG00000018646","Rio Choy-Control",-1.8669390054746,0.313996750919685,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9628","ENSAMXG00000018648","Rio Choy-Control",-0.00181727084984737,0.995964044356151,"kdm5bb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9629","ENSAMXG00000018649","Rio Choy-Control",0.417582792655714,0.107072353238496,"fam210ab",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9630","ENSAMXG00000018652","Rio Choy-Control",0.219294150550617,0.455843594818008,"gale",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9632","ENSAMXG00000018659","Rio Choy-Control",-0.00386038525979363,0.988768283136641,"lmna",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9633","ENSAMXG00000018663","Rio Choy-Control",-0.240972734242424,0.322107794677894,"ewsr1a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9634","ENSAMXG00000018664","Rio Choy-Control",0.313731529147138,0.186753743418402,NA,"tubulin alpha-1 chain [Source:NCBI gene;Acc:103031418]","TUBULIN ALPHA CHAIN ALPHA TUBULIN TUBULIN ALPHA CHAIN [CONTAINS DETYROSINATED TUBULIN ALPHA CHAIN]","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9635","ENSAMXG00000018665","Rio Choy-Control",-0.0500656646004558,0.766125450305306,"trappc11",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9636","ENSAMXG00000018666","Rio Choy-Control",-1.22400567062338,0.00150341043329993,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9637","ENSAMXG00000018667","Rio Choy-Control",0.728424605769695,0.749814223081538,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9638","ENSAMXG00000018669","Rio Choy-Control",-0.46796785195283,0.379421099360237,"rorb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9639","ENSAMXG00000018670","Rio Choy-Control",-0.206488309491353,0.889454457008979,"ankar",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9640","ENSAMXG00000018671","Rio Choy-Control",-0.434900331032866,0.328087924883231,"PCDHAC2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9641","ENSAMXG00000018672","Rio Choy-Control",-0.109163419564937,0.723087700587273,"atp6v0a2a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9642","ENSAMXG00000018676","Rio Choy-Control",0.154430859531513,0.500255567626505,"mknk1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9643","ENSAMXG00000018680","Rio Choy-Control",-0.00193342890880059,0.99583152516615,"pear1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9644","ENSAMXG00000018685","Rio Choy-Control",-1.47165721408158,0.24853242456115,"grin2bb",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9645","ENSAMXG00000018686","Rio Choy-Control",0.505505824624915,0.108180345407044,"osgepl1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9646","ENSAMXG00000018687","Rio Choy-Control",-0.120125579662627,0.661006843358245,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9647","ENSAMXG00000018692","Rio Choy-Control",-0.133512582621183,0.686063676057314,"tbc1d10ab",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9648","ENSAMXG00000018693","Rio Choy-Control",0.645452378620258,0.0580807437227096,"slirp",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9649","ENSAMXG00000018695","Rio Choy-Control",-1.3110321045154,0.0452486246968081,"JAG1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9650","ENSAMXG00000018696","Rio Choy-Control",0.363436895549425,0.188818325358716,"cpsf2",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9651","ENSAMXG00000018698","Rio Choy-Control",1.41332892448212,0.0328708700012862,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9652","ENSAMXG00000018699","Rio Choy-Control",-0.0668923093231718,0.865946687386008,"pptc7b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9653","ENSAMXG00000018700","Rio Choy-Control",0.165141529040983,0.574477665455696,"atp5f1b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9654","ENSAMXG00000018702","Rio Choy-Control",-0.933263341272963,0.36649159251511,"dlgap2a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9655","ENSAMXG00000018704","Rio Choy-Control",0.0424990267374145,0.88187206202909,NA,NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9656","ENSAMXG00000018708","Rio Choy-Control",0.41607961524388,0.112887771730538,"gtf2h1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9657","ENSAMXG00000018711","Rio Choy-Control",0.134575997125054,0.543945120299112,"pms1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9658","ENSAMXG00000018712","Rio Choy-Control",-0.451820380731226,0.478985941721582,"nes",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9659","ENSAMXG00000018715","Rio Choy-Control",0.523229657124021,0.0506838762347469,"imp3",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9660","ENSAMXG00000018716","Rio Choy-Control",-0.374898832642581,0.178073432460115,"hvcn1",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9661","ENSAMXG00000018717","Rio Choy-Control",-0.1655044846171,0.604184704783739,"mef2d",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9662","ENSAMXG00000018718","Rio Choy-Control",-0.713934008078154,0.0246904902129844,"abcb11b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9663","ENSAMXG00000018719","Rio Choy-Control",0.316139421174379,0.169777828802196,"hars",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9664","ENSAMXG00000018721","Rio Choy-Control",-0.716961188626231,0.244780749230813,"sptlc2a",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9665","ENSAMXG00000018723","Rio Choy-Control",1.02634613493244,3.33007867926382e-06,"cebpb","CCAAT/enhancer-binding protein beta-like [Source:NCBI gene;Acc:103028158]","CCAAT/ENHANCER BINDING BETA C/EBP BETA INTERLEUKIN 6 DEPENDENT BINDING IL 6DBP LIVER ENRICHED TRANSCRIPTIONAL ACTIVATOR LAP","Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9666","ENSAMXG00000018726","Rio Choy-Control",0.436101505281191,0.118958694098452,"slc35a3b",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9667","ENSAMXG00000018727","Rio Choy-Control",-0.177346777861458,0.581578528511632,"rhbg",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9668","ENSAMXG00000018729","Rio Choy-Control",-0.12135155409352,0.710299542378798,"3-Sep",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
"9669","ENSAMXG00000018730","Rio Choy-Control",0.0297685553828086,0.974956514575611,"fam78ba",NA,NA,"Sleep deprivation","McGaugh_2020","30 dpf","Whole organism"
