"","Namespace","GO_ID","GO_Term"
"31946","Cellular Component","GO:0070823","HDA1 complex"
"31947","Cellular Component","GO:0070824","SHREC complex"
"31948","Cellular Component","GO:0070825","micropyle"
"31949","Cellular Component","GO:0070826","paraferritin complex"
"31950","Biological Process","GO:0070827","obsolete chromatin maintenance"
"31951","Biological Process","GO:0070828","heterochromatin organization"
"31952","Biological Process","GO:0070829","obsolete heterochromatin maintenance"
"31953","Biological Process","GO:0070830","bicellular tight junction assembly"
"31954","Biological Process","GO:0070831","basement membrane assembly"
"31955","Biological Process","GO:0070832","phosphatidylcholine biosynthesis from phosphoryl-ethanolamine via N-dimethylethanolamine phosphate and CDP-choline"
"31956","Biological Process","GO:0070833","phosphatidylcholine biosynthesis from phosphoryl-ethanolamine via CDP-N-methylethanolamine"
"31957","Biological Process","GO:0070834","phosphatidylcholine biosynthesis from phosphoryl-ethanolamine via N-dimethylethanolamine phosphate and CDP-N-dimethylethanolamine"
"31958","Molecular Function","GO:0070835","chromium ion transmembrane transporter activity"
"31959","Biological Process","GO:0070836","caveola assembly"
"31960","Biological Process","GO:0070837","dehydroascorbic acid transport"
"31961","Biological Process","GO:0070839","metal ion export"
"31962","Molecular Function","GO:0070840","dynein complex binding"
"31963","Biological Process","GO:0070841","inclusion body assembly"
"31964","Biological Process","GO:0070842","aggresome assembly"
"31965","Biological Process","GO:0070843","misfolded protein transport"
"31966","Biological Process","GO:0070844","polyubiquitinated protein transport"
"31967","Biological Process","GO:0070845","polyubiquitinated misfolded protein transport"
"31968","Biological Process","GO:0070846","Hsp90 deacetylation"
"31969","Cellular Component","GO:0070847","core mediator complex"
"31970","Biological Process","GO:0070848","response to growth factor"
"31971","Biological Process","GO:0070849","response to epidermal growth factor"
"31972","Cellular Component","GO:0070850","TACC/TOG complex"
"31973","Molecular Function","GO:0070851","growth factor receptor binding"
"31974","Cellular Component","GO:0070852","cell body fiber"
"31975","Molecular Function","GO:0070853","myosin VI binding"
"31976","Molecular Function","GO:0070854","myosin VI heavy chain binding"
"31977","Molecular Function","GO:0070855","myosin VI head/neck binding"
"31978","Molecular Function","GO:0070856","myosin VI light chain binding"
"31979","Biological Process","GO:0070857","regulation of bile acid biosynthetic process"
"31980","Biological Process","GO:0070858","negative regulation of bile acid biosynthetic process"
"31981","Biological Process","GO:0070859","positive regulation of bile acid biosynthetic process"
"31982","Cellular Component","GO:0070860","RNA polymerase I core factor complex"
"31983","Biological Process","GO:0070861","regulation of protein exit from endoplasmic reticulum"
"31984","Biological Process","GO:0070862","negative regulation of protein exit from endoplasmic reticulum"
"31985","Biological Process","GO:0070863","positive regulation of protein exit from endoplasmic reticulum"
"31986","Cellular Component","GO:0070864","sperm individualization complex"
"31987","Cellular Component","GO:0070865","investment cone"
"31988","Molecular Function","GO:0070866","sterol-dependent protein binding"
"31989","Cellular Component","GO:0070867","mating projection tip membrane"
"31990","Biological Process","GO:0070868","obsolete heterochromatin organization involved in chromatin silencing"
"31991","Biological Process","GO:0070871","cell wall organization involved in conjugation with cellular fusion"
"31992","Biological Process","GO:0070873","regulation of glycogen metabolic process"
"31993","Biological Process","GO:0070874","negative regulation of glycogen metabolic process"
"31994","Biological Process","GO:0070875","positive regulation of glycogen metabolic process"
"31995","Cellular Component","GO:0070876","SOSS complex"
"31996","Cellular Component","GO:0070877","microprocessor complex"
"31997","Molecular Function","GO:0070878","primary miRNA binding"
"31998","Biological Process","GO:0070879","fungal-type cell wall beta-glucan metabolic process"
"31999","Biological Process","GO:0070880","fungal-type cell wall beta-glucan biosynthetic process"
"32000","Biological Process","GO:0070881","regulation of proline transport"
"32001","Molecular Function","GO:0070883","pre-miRNA binding"
"32002","Biological Process","GO:0070884","regulation of calcineurin-NFAT signaling cascade"
"32003","Biological Process","GO:0070885","negative regulation of calcineurin-NFAT signaling cascade"
"32004","Biological Process","GO:0070886","positive regulation of calcineurin-NFAT signaling cascade"
"32005","Biological Process","GO:0070887","cellular response to chemical stimulus"
"32006","Molecular Function","GO:0070888","E-box binding"
"32007","Biological Process","GO:0070889","platelet alpha granule organization"
"32008","Molecular Function","GO:0070891","lipoteichoic acid binding"
"32009","Molecular Function","GO:0070892","lipoteichoic acid immune receptor activity"
"32010","Biological Process","GO:0070893","transposon integration"
"32011","Biological Process","GO:0070894","regulation of transposon integration"
"32012","Biological Process","GO:0070895","negative regulation of transposon integration"
"32013","Biological Process","GO:0070896","positive regulation of transposon integration"
"32014","Biological Process","GO:0070897","transcription preinitiation complex assembly"
"32015","Biological Process","GO:0070898","RNA polymerase III preinitiation complex assembly"
"32016","Biological Process","GO:0070899","mitochondrial tRNA wobble uridine modification"
"32017","Biological Process","GO:0070900","mitochondrial tRNA modification"
"32018","Biological Process","GO:0070901","mitochondrial tRNA methylation"
"32019","Biological Process","GO:0070902","mitochondrial tRNA pseudouridine synthesis"
"32020","Biological Process","GO:0070903","mitochondrial tRNA thio-modification"
"32021","Biological Process","GO:0070904","transepithelial L-ascorbic acid transport"
"32022","Molecular Function","GO:0070905","serine binding"
"32023","Molecular Function","GO:0070906","aspartate:alanine antiporter activity"
"32024","Molecular Function","GO:0070907","histidine:histamine antiporter activity"
"32025","Molecular Function","GO:0070908","tyrosine:tyramine antiporter activity"
"32026","Molecular Function","GO:0070909","glutamate:gamma-aminobutyric acid antiporter activity"
"32027","Biological Process","GO:0070910","cell wall macromolecule catabolic process involved in cell wall disassembly"
"32028","Biological Process","GO:0070911","global genome nucleotide-excision repair"
"32029","Cellular Component","GO:0070912","Ddb1-Ckn1 complex"
"32030","Cellular Component","GO:0070913","Ddb1-Wdr21 complex"
"32031","Biological Process","GO:0070914","UV-damage excision repair"
"32032","Molecular Function","GO:0070915","lysophosphatidic acid receptor activity"
"32033","Cellular Component","GO:0070916","inositol phosphoceramide synthase complex"
"32034","Molecular Function","GO:0070917","inositol phosphoceramide synthase regulator activity"
"32035","Biological Process","GO:0070918","production of small RNA involved in gene silencing by RNA"
"32036","Biological Process","GO:0070919","production of siRNA involved in gene silencing by small RNA"
"32037","Biological Process","GO:0070920","regulation of production of small RNA involved in gene silencing by RNA"
"32038","Biological Process","GO:0070921","regulation of production of siRNA involved in gene silencing by small RNA"
"32039","Biological Process","GO:0070922","small RNA loading onto RISC"
"32040","Biological Process","GO:0070923","siRNA loading onto RISC involved in gene silencing by small RNA"
"32041","Biological Process","GO:0070925","organelle assembly"
"32042","Biological Process","GO:0070926","regulation of ATP:ADP antiporter activity"
"32043","Biological Process","GO:0070927","negative regulation of ATP:ADP antiporter activity"
"32044","Biological Process","GO:0070928","regulation of mRNA stability, ncRNA-mediated"
"32045","Biological Process","GO:0070929","trans-translation"
"32046","Biological Process","GO:0070930","trans-translation-dependent protein tagging"
"32047","Cellular Component","GO:0070931","Golgi-associated vesicle lumen"
"32048","Biological Process","GO:0070932","histone H3 deacetylation"
"32049","Biological Process","GO:0070933","histone H4 deacetylation"
"32050","Biological Process","GO:0070934","CRD-mediated mRNA stabilization"
"32051","Biological Process","GO:0070935","3-UTR-mediated mRNA stabilization"
"32052","Biological Process","GO:0070936","protein K48-linked ubiquitination"
"32053","Cellular Component","GO:0070937","CRD-mediated mRNA stability complex"
"32054","Cellular Component","GO:0070938","contractile ring"
"32055","Cellular Component","GO:0070939","Dsl1/NZR complex"
"32056","Biological Process","GO:0070940","dephosphorylation of RNA polymerase II C-terminal domain"
"32057","Biological Process","GO:0070941","eisosome assembly"
"32058","Biological Process","GO:0070942","neutrophil mediated cytotoxicity"
"32059","Biological Process","GO:0070943","neutrophil-mediated killing of symbiont cell"
"32060","Biological Process","GO:0070944","neutrophil-mediated killing of bacterium"
"32061","Biological Process","GO:0070945","neutrophil-mediated killing of gram-negative bacterium"
"32062","Biological Process","GO:0070946","neutrophil-mediated killing of gram-positive bacterium"
"32063","Biological Process","GO:0070947","neutrophil-mediated killing of fungus"
"32064","Biological Process","GO:0070948","regulation of neutrophil mediated cytotoxicity"
"32065","Biological Process","GO:0070949","regulation of neutrophil mediated killing of symbiont cell"
"32066","Biological Process","GO:0070950","regulation of neutrophil mediated killing of bacterium"
"32067","Biological Process","GO:0070951","regulation of neutrophil mediated killing of gram-negative bacterium"
"32068","Biological Process","GO:0070952","regulation of neutrophil mediated killing of gram-positive bacterium"
"32069","Biological Process","GO:0070953","regulation of neutrophil mediated killing of fungus"
"32070","Biological Process","GO:0070954","negative regulation of neutrophil mediated cytotoxicity"
"32071","Biological Process","GO:0070955","negative regulation of neutrophil mediated killing of symbiont cell"
"32072","Biological Process","GO:0070956","negative regulation of neutrophil mediated killing of bacterium"
"32073","Biological Process","GO:0070957","negative regulation of neutrophil mediated killing of gram-negative bacterium"
"32074","Biological Process","GO:0070958","negative regulation of neutrophil mediated killing of gram-positive bacterium"
"32075","Biological Process","GO:0070959","negative regulation of neutrophil mediated killing of fungus"
"32076","Biological Process","GO:0070960","positive regulation of neutrophil mediated cytotoxicity"
"32077","Biological Process","GO:0070961","positive regulation of neutrophil mediated killing of symbiont cell"
"32078","Biological Process","GO:0070962","positive regulation of neutrophil mediated killing of bacterium"
"32079","Biological Process","GO:0070963","positive regulation of neutrophil mediated killing of gram-negative bacterium"
"32080","Biological Process","GO:0070964","positive regulation of neutrophil mediated killing of gram-positive bacterium"
"32081","Biological Process","GO:0070965","positive regulation of neutrophil mediated killing of fungus"
"32082","Biological Process","GO:0070966","nuclear-transcribed mRNA catabolic process, no-go decay"
"32083","Molecular Function","GO:0070967","coenzyme F420 binding"
"32084","Molecular Function","GO:0070968","pyrroloquinoline quinone binding"
"32085","Cellular Component","GO:0070971","endoplasmic reticulum exit site"
"32086","Biological Process","GO:0070972","protein localization to endoplasmic reticulum"
"32087","Biological Process","GO:0070973","protein localization to endoplasmic reticulum exit site"
"32088","Molecular Function","GO:0070974","POU domain binding"
"32089","Molecular Function","GO:0070975","FHA domain binding"
"32090","Molecular Function","GO:0070976","TIR domain binding"
"32091","Biological Process","GO:0070977","bone maturation"
"32092","Biological Process","GO:0070978","voltage-gated calcium channel complex assembly"
"32093","Biological Process","GO:0070979","protein K11-linked ubiquitination"
"32094","Biological Process","GO:0070980","biphenyl catabolic process"
"32095","Biological Process","GO:0070981","L-asparagine biosynthetic process"
"32096","Biological Process","GO:0070982","L-asparagine metabolic process"
"32097","Biological Process","GO:0070983","dendrite guidance"
"32098","Molecular Function","GO:0070984","SET domain binding"
"32099","Cellular Component","GO:0070985","transcription factor TFIIK complex"
"32100","Biological Process","GO:0070986","left/right axis specification"
"32101","Biological Process","GO:0070987","error-free translesion synthesis"
"32102","Biological Process","GO:0070988","demethylation"
"32103","Biological Process","GO:0070989","oxidative demethylation"
"32104","Molecular Function","GO:0070990","snRNP binding"
"32105","Molecular Function","GO:0070991","medium-chain-acyl-CoA dehydrogenase activity"
"32106","Cellular Component","GO:0070992","translation initiation complex"
"32107","Cellular Component","GO:0070993","translation preinitiation complex"
"32108","Biological Process","GO:0070994","detection of oxidative stress"
"32109","Biological Process","GO:0070995","NADPH oxidation"
"32110","Molecular Function","GO:0070996","type 1 melanocortin receptor binding"
"32111","Biological Process","GO:0070997","neuron death"
"32112","Biological Process","GO:0070998","sensory perception of gravity"
"32113","Biological Process","GO:0070999","detection of mechanical stimulus involved in sensory perception of gravity"
"32114","Biological Process","GO:0071000","response to magnetism"
"32115","Cellular Component","GO:0071001","U4/U6 snRNP"
"32116","Cellular Component","GO:0071002","U4atac/U6atac snRNP"
"32117","Cellular Component","GO:0071003","penta-snRNP complex"
"32118","Cellular Component","GO:0071004","U2-type prespliceosome"
"32119","Cellular Component","GO:0071005","U2-type precatalytic spliceosome"
"32120","Cellular Component","GO:0071006","U2-type catalytic step 1 spliceosome"
"32121","Cellular Component","GO:0071007","U2-type catalytic step 2 spliceosome"
"32122","Cellular Component","GO:0071008","U2-type post-mRNA release spliceosomal complex"
"32123","Cellular Component","GO:0071009","U4atac/U6atac x U5 tri-snRNP complex"
"32124","Cellular Component","GO:0071010","prespliceosome"
"32125","Cellular Component","GO:0071011","precatalytic spliceosome"
"32126","Cellular Component","GO:0071012","catalytic step 1 spliceosome"
"32127","Cellular Component","GO:0071013","catalytic step 2 spliceosome"
"32128","Cellular Component","GO:0071014","post-mRNA release spliceosomal complex"
"32129","Cellular Component","GO:0071015","U12-type prespliceosome"
"32130","Cellular Component","GO:0071016","U12-type precatalytic spliceosome"
"32131","Cellular Component","GO:0071017","U12-type catalytic step 1 spliceosome"
"32132","Cellular Component","GO:0071018","U12-type catalytic step 2 spliceosome"
"32133","Cellular Component","GO:0071019","U12-type post-mRNA release spliceosomal complex"
"32134","Cellular Component","GO:0071020","post-spliceosomal complex"
"32135","Cellular Component","GO:0071021","U2-type post-spliceosomal complex"
"32136","Cellular Component","GO:0071022","U12-type post-spliceosomal complex"
"32137","Cellular Component","GO:0071023","trans spliceosomal complex"
"32138","Cellular Component","GO:0071024","SL snRNP"
"32139","Biological Process","GO:0071025","RNA surveillance"
"32140","Biological Process","GO:0071026","cytoplasmic RNA surveillance"
"32141","Biological Process","GO:0071027","nuclear RNA surveillance"
"32142","Biological Process","GO:0071028","nuclear mRNA surveillance"
"32143","Biological Process","GO:0071029","nuclear ncRNA surveillance"
"32144","Biological Process","GO:0071030","nuclear mRNA surveillance of spliceosomal pre-mRNA splicing"
"32145","Biological Process","GO:0071031","nuclear mRNA surveillance of mRNA 3-end processing"
"32146","Biological Process","GO:0071032","nuclear mRNA surveillance of mRNP export"
"32147","Biological Process","GO:0071033","nuclear retention of pre-mRNA at the site of transcription"
"32148","Biological Process","GO:0071034","CUT catabolic process"
"32149","Biological Process","GO:0071035","nuclear polyadenylation-dependent rRNA catabolic process"
"32150","Biological Process","GO:0071036","nuclear polyadenylation-dependent snoRNA catabolic process"
"32151","Biological Process","GO:0071037","nuclear polyadenylation-dependent snRNA catabolic process"
"32152","Biological Process","GO:0071038","nuclear polyadenylation-dependent tRNA catabolic process"
"32153","Biological Process","GO:0071039","nuclear polyadenylation-dependent CUT catabolic process"
"32154","Biological Process","GO:0071040","nuclear polyadenylation-dependent antisense transcript catabolic process"
"32155","Biological Process","GO:0071041","antisense RNA transcript catabolic process"
"32156","Biological Process","GO:0071042","nuclear polyadenylation-dependent mRNA catabolic process"
"32157","Biological Process","GO:0071043","CUT metabolic process"
"32158","Biological Process","GO:0071044","histone mRNA catabolic process"
"32159","Biological Process","GO:0071045","nuclear histone mRNA catabolic process"
"32160","Biological Process","GO:0071046","nuclear polyadenylation-dependent ncRNA catabolic process"
"32161","Biological Process","GO:0071047","polyadenylation-dependent mRNA catabolic process"
"32162","Biological Process","GO:0071048","nuclear retention of unspliced pre-mRNA at the site of transcription"
"32163","Biological Process","GO:0071049","nuclear retention of pre-mRNA with aberrant 3-ends at the site of transcription"
"32164","Biological Process","GO:0071050","sno(s)RNA polyadenylation"
"32165","Biological Process","GO:0071051","polyadenylation-dependent snoRNA 3-end processing"
"32166","Cellular Component","GO:0071052","alpha9-beta1 integrin-ADAM1 complex"
"32167","Cellular Component","GO:0071053","alpha9-beta1 integrin-ADAM2 complex"
"32168","Cellular Component","GO:0071054","alpha9-beta1 integrin-ADAM3 complex"
"32169","Cellular Component","GO:0071055","alpha9-beta1 integrin-ADAM9 complex"
"32170","Cellular Component","GO:0071056","alpha9-beta1 integrin-ADAM15 complex"
"32171","Cellular Component","GO:0071057","alphav-beta3 integrin-ADAM15 complex"
"32172","Cellular Component","GO:0071058","alpha3-beta1 integrin-CD151 complex"
"32173","Cellular Component","GO:0071059","alpha6-beta1 integrin-CD151 complex"
"32174","Cellular Component","GO:0071060","alpha7-beta1 integrin-CD151 complex"
"32175","Cellular Component","GO:0071061","alpha6-beta4 integrin-CD151 complex"
"32176","Cellular Component","GO:0071062","alphav-beta3 integrin-vitronectin complex"
"32177","Biological Process","GO:0071063","sensory perception of wind"
"32178","Cellular Component","GO:0071064","alphaE-beta7 integrin-E-cadherin complex"
"32179","Cellular Component","GO:0071065","alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex"
"32180","Biological Process","GO:0071066","detection of mechanical stimulus involved in sensory perception of wind"
"32181","Cellular Component","GO:0071067","alphav-beta3 integrin-ADAM23 complex"
"32182","Cellular Component","GO:0071068","alpha9-beta1 integrin-ADAM12 complex"
"32183","Cellular Component","GO:0071069","alpha4-beta1 integrin-thrombospondin-1 complex"
"32184","Cellular Component","GO:0071070","alpha4-beta1 integrin-thrombospondin-2 complex"
"32185","Biological Process","GO:0071071","regulation of phospholipid biosynthetic process"
"32186","Biological Process","GO:0071072","negative regulation of phospholipid biosynthetic process"
"32187","Biological Process","GO:0071073","positive regulation of phospholipid biosynthetic process"
"32188","Molecular Function","GO:0071074","eukaryotic initiation factor eIF2 binding"
"32189","Cellular Component","GO:0071075","CUGBP1-eIF2 complex"
"32190","Biological Process","GO:0071076","RNA 3 uridylation"
"32191","Molecular Function","GO:0071077","adenosine 3,5-bisphosphate transmembrane transporter activity"
"32192","Cellular Component","GO:0071078","fibronectin-tissue transglutaminase complex"
"32193","Cellular Component","GO:0071079","alpha2-beta1 integrin-chondroadherin complex"
"32194","Cellular Component","GO:0071080","alpha3-beta1 integrin-basigin complex"
"32195","Cellular Component","GO:0071081","alpha3-beta1 integrin-CD63 complex"
"32196","Cellular Component","GO:0071082","alpha9-beta1 integrin-tenascin complex"
"32197","Cellular Component","GO:0071083","alphaV-beta3 integrin-CD47-FCER2 complex"
"32198","Cellular Component","GO:0071084","alpha2-beta1 integrin-CD47 complex"
"32199","Cellular Component","GO:0071085","alphaIIb-beta3 integrin-CD9 complex"
"32200","Cellular Component","GO:0071086","alphaIIb-beta3 integrin-CD9-CD47-platelet glycoprotein Ib complex"
"32201","Cellular Component","GO:0071087","alpha11-beta1 integrin-collagen type I complex"
"32202","Cellular Component","GO:0071088","alpha5-beta1 integrin-tissue transglutaminase complex"
"32203","Cellular Component","GO:0071089","alphaV-beta3 integrin-tissue transglutaminase complex"
"32204","Cellular Component","GO:0071090","alphaIIb-beta3 integrin-fibronectin-tissue transglutaminase complex"
"32205","Cellular Component","GO:0071091","alpha1-beta1 integrin-tissue transglutaminase complex"
"32206","Cellular Component","GO:0071092","alpha3-beta1 integrin-tissue transglutaminase complex"
"32207","Cellular Component","GO:0071093","alpha5-beta1 integrin-fibronectin-tissue transglutaminase complex"
"32208","Cellular Component","GO:0071094","alpha6-beta4 integrin-CD9 complex"
"32209","Cellular Component","GO:0071095","alpha3-beta1 integrin-thrombospondin complex"
"32210","Cellular Component","GO:0071096","alphaV-beta3 integrin-gelsolin complex"
"32211","Cellular Component","GO:0071097","alphaV-beta3 integrin-paxillin-Pyk2 complex"
"32212","Cellular Component","GO:0071098","alpha6-beta4 integrin-Fyn complex"
"32213","Cellular Component","GO:0071099","alphaV-beta6 integrin-TGFbeta-3 complex"
"32214","Cellular Component","GO:0071100","alphaV-beta8 integrin-MMP14-TGFbeta-1 complex"
"32215","Cellular Component","GO:0071101","alpha4-beta1 integrin-JAM2 complex"
"32216","Cellular Component","GO:0071102","alpha4-beta1 integrin-paxillin complex"
"32217","Biological Process","GO:0071103","DNA conformation change"
"32218","Biological Process","GO:0071104","response to interleukin-9"
"32219","Biological Process","GO:0071105","response to interleukin-11"
"32220","Biological Process","GO:0071106","adenosine 3,5-bisphosphate transmembrane transport"
"32221","Biological Process","GO:0071107","response to parathyroid hormone"
"32222","Biological Process","GO:0071108","protein K48-linked deubiquitination"
"32223","Biological Process","GO:0071109","superior temporal gyrus development"
"32224","Biological Process","GO:0071110","histone biotinylation"
"32225","Molecular Function","GO:0071111","cyclic-guanylate-specific phosphodiesterase activity"
"32226","Cellular Component","GO:0071112","alpha4-beta4 integrin-EMILIN-1 complex"
"32227","Cellular Component","GO:0071113","alphaIIb-beta3 integrin-ICAM-4 complex"
"32228","Cellular Component","GO:0071114","alphaV-beta3 integrin-tumstatin complex"
"32229","Cellular Component","GO:0071115","alpha5-beta1 integrin-endostatin complex"
"32230","Cellular Component","GO:0071116","alpha6-beta1 integrin-CYR61 complex"
"32231","Cellular Component","GO:0071117","alpha5-beta1 integrin-fibronectin-NOV complex"
"32232","Cellular Component","GO:0071118","alphaV-beta3 integrin-NOV complex"
"32233","Cellular Component","GO:0071119","alpha7-beta1 integrin-nicotinamide riboside kinase complex"
"32234","Cellular Component","GO:0071120","alpha4-beta1 integrin-CD47 complex"
"32235","Cellular Component","GO:0071121","alpha9-beta1 integrin-VEGF-D complex"
"32236","Cellular Component","GO:0071122","alpha9-beta1 integrin-VEGF-A complex"
"32237","Cellular Component","GO:0071123","alpha9-beta1 integrin-VEGF-C complex"
"32238","Cellular Component","GO:0071124","alpha1-beta1 integrin-tyrosine-protein phosphatase non-receptor type 2 complex"
"32239","Cellular Component","GO:0071125","alphaV-beta3 integrin-EGFR complex"
"32240","Cellular Component","GO:0071126","alphaV-beta6 integrin-osteopontin complex"
"32241","Cellular Component","GO:0071127","alpha9-beta1 integrin-osteopontin complex"
"32242","Cellular Component","GO:0071128","alpha5-beta1 integrin-osteopontin complex"
"32243","Cellular Component","GO:0071129","alphaV-beta3 integrin-LPP3 complex"
"32244","Cellular Component","GO:0071130","alpha5-beta1 integrin-LPP3 complex"
"32245","Cellular Component","GO:0071131","alphaV-beta3 integrin-laminin alpha-4 complex"
"32246","Cellular Component","GO:0071132","alphaX-beta2 integrin-ICAM-4 complex"
"32247","Cellular Component","GO:0071133","alpha9-beta1 integrin-ADAM8 complex"
"32248","Cellular Component","GO:0071134","alpha9-beta1 integrin-thrombospondin-1 complex"
"32249","Cellular Component","GO:0071135","alpha7-beta1 integrin-focal adhesion kinase complex"
"32250","Cellular Component","GO:0071136","alpha7-beta1 integrin-laminin alpha-2 complex"
"32251","Cellular Component","GO:0071137","alphaV-beta3 integrin-CD98 complex"
"32252","Cellular Component","GO:0071138","alpha5-beta5-fibronectin-SFRP2 complex"
"32253","Biological Process","GO:0071139","resolution of recombination intermediates"
"32254","Biological Process","GO:0071140","resolution of mitotic recombination intermediates"
"32255","Cellular Component","GO:0071141","SMAD protein complex"
"32256","Cellular Component","GO:0071142","homomeric SMAD protein complex"
"32257","Cellular Component","GO:0071144","heteromeric SMAD protein complex"
"32258","Cellular Component","GO:0071152","G-protein alpha(q)-synembrin complex"
"32259","Cellular Component","GO:0071153","G-protein alpha(o)-synembrin complex"
"32260","Cellular Component","GO:0071154","G-protein alpha(i)1-synembrin complex"
"32261","Cellular Component","GO:0071155","G-protein alpha(13)-synembrin complex"
"32262","Cellular Component","GO:0071159","NF-kappaB complex"
"32263","Molecular Function","GO:0071160","cyanophycin synthetase activity (L-aspartate-adding)"
"32264","Molecular Function","GO:0071161","cyanophycin synthetase activity (L-arginine-adding)"
"32265","Cellular Component","GO:0071162","CMG complex"
"32266","Biological Process","GO:0071163","DNA replication preinitiation complex assembly"
"32267","Molecular Function","GO:0071164","RNA trimethylguanosine synthase activity"
"32268","Biological Process","GO:0071165","GINS complex assembly"
"32269","Biological Process","GO:0071166","ribonucleoprotein complex localization"
"32270","Biological Process","GO:0071167","obsolete ribonucleoprotein complex import into nucleus"
"32271","Biological Process","GO:0071168","protein localization to chromatin"
"32272","Biological Process","GO:0071169","establishment of protein localization to chromatin"
"32273","Biological Process","GO:0071170","site-specific DNA replication termination"
"32274","Biological Process","GO:0071171","site-specific DNA replication termination at RTS1 barrier"
"32275","Molecular Function","GO:0071172","dihydromonapterin reductase activity"
"32276","Biological Process","GO:0071173","spindle assembly checkpoint signaling"
"32277","Biological Process","GO:0071174","mitotic spindle checkpoint signaling"
"32278","Cellular Component","GO:0071175","MAML2-RBP-Jkappa-ICN1 complex"
"32279","Cellular Component","GO:0071176","MAML2-RBP-Jkappa-ICN2 complex"
"32280","Cellular Component","GO:0071177","MAML2-RBP-Jkappa-ICN3 complex"
"32281","Cellular Component","GO:0071178","MAML2-RBP-Jkappa-ICN4 complex"
"32282","Cellular Component","GO:0071179","MAML3-RBP-Jkappa-ICN1 complex"
"32283","Cellular Component","GO:0071180","MAML3-RBP-Jkappa-ICN2 complex"
"32284","Cellular Component","GO:0071181","MAML3-RBP-Jkappa-ICN3 complex"
"32285","Cellular Component","GO:0071182","MAML3-RBP-Jkappa-ICN4 complex"
"32286","Cellular Component","GO:0071183","protocadherin-alpha-protocadherin-gamma complex"
"32287","Cellular Component","GO:0071184","protocadherin-alpha-v4-protocadherin-gamma-a1 complex"
"32288","Cellular Component","GO:0071185","protocadherin-alpha-v4-protocadherin-gamma-a3 complex"
"32289","Cellular Component","GO:0071186","protocadherin-alpha-v4-protocadherin-gamma-b2 complex"
"32290","Cellular Component","GO:0071187","protocadherin-alpha-v4-protocadherin-gamma-b4 complex"
"32291","Cellular Component","GO:0071188","protocadherin-alpha-v7-protocadherin-gamma-a1 complex"
"32292","Cellular Component","GO:0071189","protocadherin-alpha-v7-protocadherin-gamma-a3 complex"
"32293","Cellular Component","GO:0071190","protocadherin-alpha-v7-protocadherin-gamma-b2 complex"
"32294","Cellular Component","GO:0071191","protocadherin-alpha-v7-protocadherin-gamma-b4 complex"
"32295","Cellular Component","GO:0071192","Kv4.2-KChIP1 channel complex"
"32296","Cellular Component","GO:0071193","Kv4.2-KChIP2 channel complex"
"32297","Cellular Component","GO:0071194","Kv4.2-KChIP3 channel complex"
"32298","Cellular Component","GO:0071195","Kv4.2-KChIP4 channel complex"
"32299","Cellular Component","GO:0071196","Kv4.3-KChIP1 channel complex"
"32300","Cellular Component","GO:0071197","Kv4.2-Kv4.3 channel complex"
"32301","Cellular Component","GO:0071198","Kv4.1-DPP6 channel complex"
"32302","Cellular Component","GO:0071199","Kv4.1-DPP10 channel complex"
"32303","Cellular Component","GO:0071200","Kv4.2-DPP6 channel complex"
"32304","Cellular Component","GO:0071201","Kv4.3-DPP6 channel complex"
"32305","Cellular Component","GO:0071202","Kv4.3-DPP10 channel complex"
"32306","Cellular Component","GO:0071203","WASH complex"
"32307","Cellular Component","GO:0071204","histone pre-mRNA 3end processing complex"
"32308","Biological Process","GO:0071205","protein localization to juxtaparanode region of axon"
"32309","Biological Process","GO:0071206","establishment of protein localization to juxtaparanode region of axon"
"32310","Molecular Function","GO:0071207","histone pre-mRNA stem-loop binding"
"32311","Molecular Function","GO:0071208","histone pre-mRNA DCP binding"
"32312","Molecular Function","GO:0071209","U7 snRNA binding"
"32313","Biological Process","GO:0071210","protein insertion into membrane raft"
"32314","Biological Process","GO:0071211","protein targeting to vacuole involved in autophagy"
"32315","Cellular Component","GO:0071212","subsynaptic reticulum"
"32316","Biological Process","GO:0071213","cellular response to 1-aminocyclopropane-1-carboxylic acid"
"32317","Biological Process","GO:0071214","cellular response to abiotic stimulus"
"32318","Biological Process","GO:0071215","cellular response to abscisic acid stimulus"
"32319","Biological Process","GO:0071216","cellular response to biotic stimulus"
"32320","Biological Process","GO:0071217","cellular response to external biotic stimulus"
"32321","Biological Process","GO:0071218","cellular response to misfolded protein"
"32322","Biological Process","GO:0071219","cellular response to molecule of bacterial origin"
"32323","Biological Process","GO:0071220","cellular response to bacterial lipoprotein"
"32324","Biological Process","GO:0071221","cellular response to bacterial lipopeptide"
"32325","Biological Process","GO:0071222","cellular response to lipopolysaccharide"
"32326","Biological Process","GO:0071223","cellular response to lipoteichoic acid"
"32327","Biological Process","GO:0071224","cellular response to peptidoglycan"
"32328","Biological Process","GO:0071225","cellular response to muramyl dipeptide"
"32329","Biological Process","GO:0071226","cellular response to molecule of fungal origin"
"32330","Biological Process","GO:0071227","cellular response to molecule of oomycetes origin"
"32331","Biological Process","GO:0071228","cellular response to tumor cell"
"32332","Biological Process","GO:0071229","cellular response to acid chemical"
"32333","Biological Process","GO:0071230","cellular response to amino acid stimulus"
"32334","Biological Process","GO:0071231","cellular response to folic acid"
